exp;VELTANLAR_69;VELTENLAR_72;TotalReads
1MDNA1_lib;2503581;37179021;39682602
1MDNA2_lib;991414;13361027;14352441
1MRNA1_lib;18099443;39799920;57899363
1MRNA2_lib;23600871;51753331;75354202
2DDNA1_lib;2738960;38952557;41691517
2DDNA2_lib;2773163;39813349;42586512
2DRNA1_lib;47560362;111478420;159038782
2DRNA2_lib;48936179;110839783;159775962
3EDNA1_lib;3668028;49115681;52783709
3EDNA2_lib;1904036;26167893;28071929
3ERNA1_lib;41833018;93418995;135252013
3ERNA2_lib;49661806;105879491;155541297
4MDNA1_lib;2875856;38415227;41291083
4MDNA2_lib;4545908;65274547;69820455
4MRNA1_lib;22727204;54540148;77267352
4MRNA2_lib;15966076;35151955;51118031
5MDNA1_lib;691748;9543610;10235358
5MDNA2_lib;642060;8577273;9219333
5MRNA1_lib;10106548;23685604;33792152
5MRNA2_lib;9013683;21570527;30584210
6NDNA1_lib;1069449;14001228;15070677
6NDNA2_lib;803469;9539979;10343448
6NRNA1_lib;6041119;13693091;19734210
6NRNA2_lib;6254965;14450671;20705636
7MDNA1_lib;570396;7768146;8338542
7MDNA2_lib;569270;9193650;9762920
7MRNA1_lib;20853752;44483754;65337506
7MRNA2_lib;17913506;40293549;58207055